2003. 4. 19.7 8.7
2003. 5. 105.8 6.7
2003. 6. 244.4 3.1
2003. 7. 40.0 5.1
2003. 8. 159.9 5.7
2003. 9. 99.6 7.2
2003. 10. 218.5 8.4
2003. 11. 91.8 10.0
2003. 12. 63.8 11.1
2004. 1. 19.6 15.4
2004. 2. 9.2 17.0
2004. 3. 50.1 13.1
2004. 4. 244.9 8.7
2004. 5. 26.0 5.7
2004. 6. 250.8 5.5
2004. 7. 120.5 1.7
2004. 8. 36.7 5.0
2004. 9. 96.0 7.2
2004. 10. 87.3 9.4
2004. 11. 53.4 12.1
2004. 12. 85.3 12.9
2005. 1. 52.3 13.1
2005. 2. 12.5 17.5
2005. 3. 116.6 11.7
2005. 4. 128.3 8.8
2005. 5. 213.6 4.3
2005. 6. 241.3 1.7
2005. 7. 39.4 1.9
2005. 8. 63.9 3.4
2005. 9. 13.0 7.5
2005. 10. 83.4 8.9
2005. 11. 100.6 10.0
2005. 12. 10.4 14.1
2006. 1. 90.4 13.6
2006. 2. 35.5 14.6
2006. 3. 124.7 11.3
2006. 4. 138.6 8.5
2006. 5. 77.6 5.0
2006. 6. 171.8 2.7
2006. 7. 208.2 1.9
2006. 8. 56.2 3.7
2006. 9. 41.4 7.9
2006. 10. 126.8 8.4
2006. 11. 61.9 10.6
2006. 12. 125.2 11.3
2007. 1. 6.5 14.9
2007. 2. 27.3 13.8
2007. 3. 19.3 12.2
2007. 4. 137.0 9.4
2007. 5. 43.2 4.8
2007. 6. 112.2 3.3
2007. 7. 69.2 2.4
2007. 8. 34.3 4.1
2007. 9. 81.7 7.0
2007. 10. 104.4 8.4
2007. 11. 19.1 10.8
2007. 12. 31.1 13.3
2008. 1. 49.4 15.6
2008. 2. 26.5 17.1
2008. 3. 30.5 13.2
2008. 4. 141.7 9.1
2008. 5. 136.6 4.8
2008. 6. 158.7 3.5
2008. 7. 126.4 2.9
2008. 8. 86.8 3.5
2008. 9. 13.0 7.0
2008. 10. 32.6 9.4
2008. 11. 108.4 11.4
2008. 12. 12.4 15.8
2009. 1. 55.0 15.1
2009. 2. 124.9 14.6
2009. 3. 109.7 12.8
2009. 4. 119.7 10.2
2009. 5. 141.4 5.9
2009. 6. 99.4 3.4
2009. 7. 50.0 4.1
2009. 8. 182.6 4.6
2009. 9. 25.9 7.1
2009. 10. 121.4 7.3
2009. 11. 79.1 8.3
2009. 12. 118.0 11.5
2010. 1. 111.3 12.7
2010. 2. 55.8 12.2
2010. 3. 20.9 13.6
2010. 4. 66.4 8.7
2010. 5. 83.9 6.3
2010. 6. 223.9 3.2
2010. 7. 123.4 0.9
2010. 8. 146.2 2.8
2010. 9. 37.5 6.7
2010. 10. 67.3 9.0
2010. 11. 46.3 10.6
2010. 12. 35.2 12.1
2011. 1. 74.1 14.7
2011. 2. 37.4 14.8
